"species","IPSS","IPSV"
"Melosira varians",4,1
"Melosira varians",4,1
"Ulnaria ulna",3,1
"Navicula tripunctata",4.4,2
"Navicula lanceolata",3.8,1
"Eolimna subminuscula",2,1
"Nitzschia frustulum",2,1
"Ulnaria ulna",3,1
"Gomphoneis minuta",3.8,3
"Gomphonema parvulum",2,1
"Encyonema silesiacum",5,2
"Navicula lanceolata",3.8,1
"Diatoma tenuis",3,1
"Navicula cryptotenella",4,1
"Gomphonema parvulum",2,1
"Reimeria sinuata",4.8,1
"Gomphoneis minuta",3.8,3
"Achnanthidium minutissimum",5,1
"Frustulia erifuga",4.8,3
"Nitzschia cf. pusilla",NA,NA
"Hydrosera sp.",2,3
"Nitzschia dissipata var. media",4,3
"Navicula capitatoradiata",3,2
"Nitzschia soratensis",1,3
"Gomphonema parvulum",2,1
"Encyonema silesiacum",5,2
"Eunotia pectinalis",5,2
"Nitzschia palea",1,3
"Cocconeis placentula",4,1
"Cymbella excisa",4,2
"Pleurosira laevis",NA,NA
"Hydrosera sp.",2,3
"Nitzschia dissipata var. media",4,3
"Gomphoneis minuta",3.8,3
"Amphora pediculus",4,1
"Nitzschia inconspicua",2.8,1
"Amphora ovalis",3,1
"Nitzschia fonticola",3.5,1
"Sellaphora minima",3,1
"Achnanthidium minutissimum",5,1
"Sellaphora minima",3,1
"Fistulifera saprophila",2,1
"Sellaphora seminulum",1.5,2
"Tabellaria flocculosa",5,1
"Cymbella excisa",4,2
"Eunotia minor",4.6,1
"Karayevia ploenensis var. gessneri",NA,NA
"Navicula cryptotenella",4,1
"Gomphonema parvulum",2,1
"Achnanthidium minutissimum",5,1
"Nitzschia cf. pusilla",NA,NA
"Fistulifera saprophila",2,1
"Eunotia pectinalis",5,2
"Fistulifera saprophila",2,1
"Nitzschia palea",1,3
"Cocconeis pediculus",4,2
"Achnanthidium minutissimum",5,1
"Navicula cryptotenelloides",3.5,1
"Mayamaea permitis",2.3,1
"Gomphonema pumilum",5,1
"Fistulifera saprophila",2,1
"Achnanthidium pyrenaicum",5,1
"Ulnaria acus",4,1
"Nitzschia dissipata var. media",4,3
"Fistulifera saprophila",2,1
"Sellaphora minima",3,1
"Cyclotella meneghiniana",2,1
"Achnanthidium minutissimum",5,1
"Navicula gregaria",3.4,1
"Nitzschia fonticola",3.5,1
"Nitzschia palea",1,3
"Fistulifera saprophila",2,1
"Nitzschia palea",1,3
"Sellaphora minima",3,1
"Amphora ovalis",3,1
"Nitzschia dissipata var. media",4,3
"Nitzschia sigmoidea",3,2
"Nitzschia fonticola",3.5,1
"Reimeria sinuata",4.8,1
"Achnanthidium minutissimum",5,1
"Navicula cryptotenella",4,1
"Gomphonema parvulum",2,1
"Discostella sp.",NA,NA
"Achnanthidium minutissimum",5,1
"Diatoma tenuis",3,1
"Navicula gregaria",3.4,1
"Nitzschia inconspicua",2.8,1
"Gomphonema bourbonense",3.8,2
"Mayamaea permitis",2.3,1
"Planothidium lanceolatum",4.6,1
"Eunotia minor",4.6,1
"Sellaphora minima",3,1
"Surirella minuta angusta",NA,NA
"Mayamaea permitis",2.3,1
"Nitzschia fonticola",3.5,1
"Gomphoneis sp.",NA,NA
"Staurosira venter",4,1
"Cymbella tumida",3,3
"Ellerbeckia sp.",NA,NA
"Cyclotella meneghiniana",2,1
"Navicula cryptocephala",3.5,2
"Encyonema prostratum",4,3
"Navicula rostellata",3,3
"Cymbella excisa",4,2
"Frustulia vulgaris",4,3
"Navicula symmetrica",3,2
"Cocconeis placentula",4,1
"Achnanthidium minutissimum",5,1
"Navicula cryptocephala",3.5,2
"Nitzschia filiformis",3,3
"Cymbella lanceolata",4,2
"Achnanthidium minutissimum",5,1
"Achnanthidium minutissimum",5,1
"Cyclotella distinguenda",4,2
"Encyonema muelleri",5,2
"Navicula cryptotenella",4,1
"Navicula slesvicensis",3,3
"Nitzschia filiformis",3,3
"Nitzschia dissipata",4.5,3
"Cyclotella meneghiniana",2,1
"Nitzschia fonticola",3.5,1
"Thalassiosira weissflogii",2,2
"Diploneis subovalis",4.5,2
"Nitzschia sigmoidea",3,2
"Mayamaea permitis",2.3,1
"Gyrosigma acuminatum",4,3
"Gomphonema parvulum",2,1
"Sellaphora minima",3,1
"Surirella cf. tenuissima",NA,NA
"Diploneis subovalis",4.5,2
"Nitzschia sigmoidea",3,2
"Ulnaria acus",4,1
"Nitzschia dissipata var. media",4,3
"Eunotia bilunaris",5,2
"Nitzschia frustulum",2,1
"Sellaphora seminulum",1.5,2
"Cymbella heterogibbosa",NA,NA
"Cyclotella meneghiniana",2,1
"Navicula radiosa",5,2
"Achnanthidium helveticum",5,2
"Thalassiosira pseudonana",2,2
"Nitzschia palea",1,3
"Nitzschia fonticola",3.5,1
"Achnanthidium minutissimum",5,1
"Navicula ramosissima",NA,NA
"Ulnaria ulna",3,1
"Nitzschia acidoclinata",5,2
"Cymbella aspera",4,3
"Staurosira construens",4,1
"Sellaphora minima",3,1
"Geissleria decussis",4.8,2
"Staurosira elliptica",3,1
"Fistulifera saprophila",2,1
"Nitzschia amphibia",NA,NA
"Nitzschia cf. microcephala",NA,NA
"Skeletonema potamos",3,2
"Nitzschia capitellata",1,3
"Sellaphora minima",3,1
"Mayamaea fossalis",3,2
"Nitzschia palea",1,3
"Navicula veneta",1,2
"Tryblionella sp.",NA,NA
"Caloneis amphisbaena",NA,NA
"Diploneis subovalis",4.5,2
"Pseudostaurosira brevistriata",3,1
"Achnanthidium minutissimum",5,1
"Eunotia bilunaris",5,2
"Gomphonema micropus",3,1
"Sellaphora minima",3,1
"Cymbopleura naviculiformis",3.8,3
"Tabularia tabulata",2,3
"Nitzschia dissipata var. media",4,3
"Achnanthidium minutissimum",5,1
"Sellaphora pupula",2.6,2
"Encyonema triangulum",3,3
"Encyonema triangulum",3,3
"Navicula cryptotenella",4,1
"Aulacoseira granulata",2.9,1
"Melosira varians",4,1
"Ctenophora pulchella",3,3
"Cymbella excisa",4,2
"Stephanodiscus sp.",3,2
"Aulacoseira granulata",2.9,1
"Pinnularia acrosphaeria",5,3
"Frustulia crassinervia",5,2
"Sellaphora pupula",2.6,2
"Craticula cuspidata",2.6,3
"Aulacoseira ambigua",3,1
"Nitzschia inconspicua",2.8,1
"Diploneis subovalis",4.5,2
"Halamphora montana",NA,NA
"Mayamaea permitis",2.3,1
"Mayamaea permitis",2.3,1
"Eunotia bilunaris",5,2
"Ulnaria ulna",3,1
"Ulnaria ulna",3,1
"Mayamaea permitis",2.3,1
"Gomphoneis minuta",3.8,3
"Aulacoseira subarctica",4,1
"Cyclostephanos tholiformis",2,1
"Cyclotella atomus",2,1
"Fallacia pygmaea",NA,NA
"Encyonema minutum",4.8,2
"Craticula molestiformis",2,1
"Cocconeis placentula",4,1
"Pinnularia cf. isselana",NA,NA
"Mayamaea permitis",2.3,1
"Acanthoceras sp.",NA,NA
"Eolimna subminuscula",2,1
"Navicula phyllepta",2.6,3
"Nitzschia tubicola",2.8,2
"Eunotia bilunaris",5,2
